name,website,industry,lifecyclestage,county,partnership_strategy,expected_roi,notes
KLR Roofing Corp.,klrroofing.com,Roofing,subscriber,Palm Beach,SB 808 angle - dispute substandard inspections; PA protects scope,1-3 referrals/month at $20K-$80K; PA fee $3K-$16K,"State certified FL roofing contractor; CCC1328862; 15+ years experience. Founder-run = faster partnership decisions. Premium market pricing. Pitch: protect customer scope from low-ball carrier-accepted inspections before July 1 SB 808 deadline."
All Phase Construction USA,allphaseusa.com,Roofing,subscriber,Broward,Active expansion = openness to partnerships; multi-trade crew = broad claim exposure,2-4 referrals/month at $15K-$40K; PA fee $2,250-$8K,"Expanding roofing operations in Deerfield Beach; growth-mode contractor. Multi-trade (roof+plumber+HVAC) = every major claim type. Pitch: referral exchange - All Phase refers disputed insurance scopes, Duncan handles settlement."
Quantum Roofing Solutions,quantumroofing.com,Roofing,subscriber,Miami-Dade,Commercial + residential dual track; Miami-Dade volume + commercial upside,2-4/month residential; 1-2/month commercial at $50K-$200K+; PA fee $7,500-$40K,"Large-scale residential + commercial roofing; storm-prep market positioning. Miami-Dade is hottest county (+6.6% YoY). Sales Manager contact = relationship builder. Pitch: priority handling for transferred Citizens policies homeowners."
Storm Shield Roofing,stormshieldfl.com,Roofing,subscriber,Palm Beach,High-value claims alignment; specialized expertise = client confidence,1-2/month at $40K-$100K; PA fee $6K-$20K,"Specializes in Category 5 rated systems; premium roofs ($30K-$60K+). Labor-constrained but high-value deals. Pitch: premium clients investing in storm-rated roofs want insurance protection at that level. PA ensures settlement matches system value."
Coastal Property Management Group,coastalproperty.com,Property Management,subscriber,Broward,Portfolio-level claims management for 200+ properties,10-15 claims/year; avg $15K-$60K; PA fee $2,250-$12K,"Manages 200+ residential properties - largest portfolio in CRM. VP Business Development = partnership responsibility. Broward has most active insurance rate changes. Pitch: one PA on call for claim disputes across entire portfolio."
Prestige Realty Management,prestigerealty.com,Property Management,subscriber,Miami-Dade,Luxury claims specialist; $2M+ properties = highest claim values,1-3/month at $50K-$300K+; PA fee $7,500-$60K,"Premium property manager handling luxury segment (avg $2M+). CEO contact = decision made in one call. Miami-Dade strongest market (+6.6% YoY; $5M+ up 27%). Pitch: high-value finishes + complex coverage = PA brings sophistication luxury clients deserve."
Atlantic Water & Mold Solutions,atlanticwaterfl.com,Water Mitigation,subscriber,Palm Beach,Pre-scope coordination - PA ensures insurance math works before final scope,2-4 active job referrals/month at $18K-$45K; PA fee $2,700-$9K,"Post-storm capacity often maxed; April rainfall 3x normal. Sales Director = partnership-measured. Palm Beach premium market. Highest urgency this week. Pitch: 'Make current work actually pay out' - PA in loop before carrier scope decision prevents payment gaps."
Elite General Contracting,elitecontractorsfl.com,General Contracting,subscriber,Broward,Claims triage partnership - alert PA to insurance friction situations,3-5 referrals/month at $15K-$35K; PA fee $2,250-$7K,"Multi-trade (roof+plumber+HVAC). Drought-to-wet sequence = water/slow-leak claims now. Broward active market. Pitch: insurance friction early alert = Duncan handles coverage fight while Elite focuses on repair."
SafeHaven Property Consulting,safehavenprop.com,Property Management,subscriber,St. Lucie,Emerging market - early-adopter advantage; less saturated than Broward/Miami,Not yet estimated; growth market,St. Lucie #1 mid-size housing market growth. Early PA relationships = market positioning advantage. Less competition than Broward/Miami. Principal contact = decision maker. Future growth track.
Florida Insurance Partners LLC,floridainsurancepartners.com,Insurance Attorney,subscriber,Miami-Dade,Mutual referral - PA handles pre-litigation; attorney handles bad-faith escalations,1-3 mutual referrals/month at $50K-$200K; PA fee $7,500-$40K,"P&C insurance litigation specialty - exact PA/attorney overlap. Managing Partner = decision maker. Miami-Dade highest litigation activity. HB 459 administrative dispute path = PA + attorney co-pilot model. Pitch: mutual referral - resolve administratively first, escalate to counsel only if needed."
HOA Advocates Management,hoaadvocatesfl.com,HOA Management,subscriber,Palm Beach,Association-level claims advocacy; 45+ communities = 45 claim sources,Even 5% generating 1 claim/year = 20+/month; avg $15K-$60K; PA fee $2,250-$12K,"Manages 45+ communities. Executive Director = right level. Palm Beach civil litigation surge = communities in disputes. Pitch: be hero who solved resident complaint. White-labeled 'Claims Guide for HOA Residents' distributed to all 45+ communities = brand presence."
